ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number,Texture_AngularSecondMoment_intensity_3_00,Texture_AngularSecondMoment_intensity_3_01,Texture_AngularSecondMoment_intensity_3_02,Texture_AngularSecondMoment_intensity_3_03,Texture_Contrast_intensity_3_00,Texture_Contrast_intensity_3_01,Texture_Contrast_intensity_3_02,Texture_Contrast_intensity_3_03,Texture_Correlation_intensity_3_00,Texture_Correlation_intensity_3_01,Texture_Correlation_intensity_3_02,Texture_Correlation_intensity_3_03,Texture_DifferenceEntropy_intensity_3_00,Texture_DifferenceEntropy_intensity_3_01,Texture_DifferenceEntropy_intensity_3_02,Texture_DifferenceEntropy_intensity_3_03,Texture_DifferenceVariance_intensity_3_00,Texture_DifferenceVariance_intensity_3_01,Texture_DifferenceVariance_intensity_3_02,Texture_DifferenceVariance_intensity_3_03,Texture_Entropy_intensity_3_00,Texture_Entropy_intensity_3_01,Texture_Entropy_intensity_3_02,Texture_Entropy_intensity_3_03,Texture_InfoMeas1_intensity_3_00,Texture_InfoMeas1_intensity_3_01,Texture_InfoMeas1_intensity_3_02,Texture_InfoMeas1_intensity_3_03,Texture_InfoMeas2_intensity_3_00,Texture_InfoMeas2_intensity_3_01,Texture_InfoMeas2_intensity_3_02,Texture_InfoMeas2_intensity_3_03,Texture_InverseDifferenceMoment_intensity_3_00,Texture_InverseDifferenceMoment_intensity_3_01,Texture_InverseDifferenceMoment_intensity_3_02,Texture_InverseDifferenceMoment_intensity_3_03,Texture_SumAverage_intensity_3_00,Texture_SumAverage_intensity_3_01,Texture_SumAverage_intensity_3_02,Texture_SumAverage_intensity_3_03,Texture_SumEntropy_intensity_3_00,Texture_SumEntropy_intensity_3_01,Texture_SumEntropy_intensity_3_02,Texture_SumEntropy_intensity_3_03,Texture_SumVariance_intensity_3_00,Texture_SumVariance_intensity_3_01,Texture_SumVariance_intensity_3_02,Texture_SumVariance_intensity_3_03,Texture_Variance_intensity_3_00,Texture_Variance_intensity_3_01,Texture_Variance_intensity_3_02,Texture_Variance_intensity_3_03
7,55,468.82080419580421,286.16783216783216,55,0.013170255484536462,0.014937804218496482,0.013609656939184674,0.015209876543209877,740.81545064377679,851.33953488372094,497.34328358208955,727.29333333333329,0.10757239395583153,0.009749918962045823,0.39982002590366161,0.040457115837180743,5.2617356218780316,5.3373060640685281,5.0139638320113065,5.0841262323869083,0.00033157552958462742,0.00031164656794604176,0.0004875899581898085,0.00048164217936945208,7.6011289933492971,7.5488366876306907,7.6723864920694993,7.1989150145917877,-0.39310233901789848,-0.41946466133682969,-0.42605056503196609,-0.35188064957613907,0.98779635894870277,0.99086279432219615,0.99211549718567582,0.97660848246727228,0.17621551308231892,0.17859487118521114,0.20522329330931049,0.21823231053844616,32.317596566523605,34.269767441860466,33.828358208955223,27.853333333333332,5.8316750892953113,5.7959464832628056,5.8001545078404897,5.5466981841691751,919.40986203466628,868.10396971335877,1159.9705390955671,788.62293333333355,415.05632816961077,429.86087614926987,414.32845566941404,378.97906666666665
7,56,153.67851701371254,295.15896394108682,56,0.01821959237343853,0.01710245083649576,0.019328862590401057,0.015308062479824556,193.39589743589741,304.52877307274707,182.26666666666665,239.82207931404076,0.61117845173345753,0.39291478068475172,0.63103894616832634,0.52575955725678591,4.2693564549379133,4.5537854504413326,4.2689316382065252,4.49783273531762,0.0010453971192908649,0.00087335104690500871,0.0010072707261926136,0.00083899128981029022,7.7293678038780573,7.816521602005837,7.7082718098459981,7.9008909183246212,-0.27783275616405462,-0.24813625339853446,-0.28036972329604087,-0.26297536680286476,0.95781741596480219,0.94380525550246452,0.95865408286124598,0.95319493138052303,0.30488580762842232,0.27690701412603647,0.30783161468857739,0.26529306829690275,23.449230769230766,23.310532030401745,23.355897435897436,24.032154340836016,5.5134985144679813,5.5119372232445567,5.5004321792480155,5.5755122608964927,801.38383274161754,698.72007365831143,805.73282419460861,771.57238517660744,248.69493254437864,250.81221168276463,246.99987271531893,252.84861612266207
7,57,429.82452431289641,308.30514446793518,57,0.014824621257070528,0.013153990138787439,0.014354030356541354,0.013656057661159703,1496.0220125786163,1761.0895270270271,1445.6837060702876,1588.1275510204082,0.29962679009622256,0.12807541789297655,0.32669534986706883,0.28886651088600479,5.1920603604008884,5.2220875117725818,5.0863572265030133,5.2094942366234172,0.00030563941213109424,0.00030695368487552576,0.00032880990417199482,0.00030197492651199998,7.8333737326948825,7.762549946846006,7.824585140078268,7.9375619480177839,-0.31663719373427618,-0.28380622742875117,-0.34287572707855674,-0.34374759904903102,0.97339455010769593,0.96086606758106474,0.98018190544676653,0.98128736025152985,0.23219241653636286,0.24015460982358405,0.22822666838966049,0.23986095623210127,36.352201257861637,34.383445945945951,37.284345047923324,38.658163265306122,5.7856605567638351,5.7427136874843923,5.8334194524453675,5.9359351670806326,2776.0489102488027,2278.456009747078,2848.6092437403663,2878.3406306400111,1068.017730706855,1009.8863841935264,1073.5732374526635,1116.6170454151049
7,58,490.15180265654647,311.4326375711575,58,0.017384731670445953,0.051939513477975013,0.025933888739586131,0.037534435261707987,3035.6031746031745,934.79487179487171,2867.5737704918038,3043.5303030303035,-0.0049551241241640931,-0.17237597715313815,-0.1465567114705508,-0.10901562073182837,4.8477361225676914,3.867377375046698,4.4885378547589996,4.4722029315878791,0.00023975965891193522,0.00048638784902521148,0.00033453571362853675,0.0004112881235758357,6.4023707020892244,5.0892103097749857,6.0576041420081301,6.0040397514880421,-0.58188244190922367,-0.53068115340210709,-0.50776975048483408,-0.56843603617334504,0.99738341054670399,0.98725921375322012,0.99186502692275225,0.99574263876156544,0.19310612591552201,0.30158844937124551,0.24659810794118933,0.29606574724711798,47.603174603174601,21.205128205128204,36.655737704918039,41.772727272727273,5.2792772496739309,4.0635692841339601,4.9984297080009705,4.8939691074503093,3005.66792642983,659.90664036817884,2134.4880408492336,2445.1756198347111,1510.317775258251,398.67537804076267,1250.5154528352593,1372.1764807162533
7,59,41.052562988705475,315.8653344917463,59,0.020480745096633078,0.022206944444444446,0.023411796982167353,0.021204996258349422,1683.9461077844312,1613.8583333333336,1333.7644444444445,1899.0714285714287,0.17698457912443694,0.24829692897650252,0.33596328894553634,0.010348035883107351,4.8139829434840635,4.8833529761649963,4.6775669138437443,4.9222904585113421,0.00034701753139235392,0.00032763693979176098,0.00039259768461854193,0.00030850778807810057,7.3682653015171145,7.29885050526822,7.2249677750697128,7.3712519081503523,-0.3004522718541246,-0.3020727838249912,-0.31913372925843619,-0.24431739501065391,0.96234609440541419,0.96203197083753433,0.96729284788685255,0.93352181477105611,0.28177033825358738,0.27647690031599803,0.29832497003111969,0.26931149311285585,31.155688622754496,31.628333333333337,30.807407407407403,28.998480243161097,5.4701200154788268,5.4547467593257117,5.383582864947428,5.4701562281895031,2408.1913299150201,2680.0135305555559,2683.3762414266116,1938.7857119760533,1023.0343594248629,1073.4679659722221,1004.2851714677639,959.46428513687056
7,60,465.72105263157897,315.95789473684209,60,0.016611570247933884,0.015819361817198486,0.019568171077504727,0.019550173010380624,329.73636363636365,525.26162790697674,624.64130434782612,720.99411764705883,0.71292650611754693,0.33041984652648632,0.36492829568813162,0.28930746895616977,4.4059069828954787,4.797240345919926,4.7134743679401154,4.7315111353532959,0.00045413759503685228,0.0003081489680153949,0.00034399501697642731,0.00034199258553674393,7.2605934533170808,7.2356222689910581,7.1250195530376086,6.9984930682233912,-0.51554035756193239,-0.51029185071929661,-0.53903325246714862,-0.52624445867049652,0.99676787666957434,0.99647697176656402,0.99739282501357651,0.99661857900117723,0.28105419547479632,0.20978514417219446,0.24747159175895872,0.24999185953578468,35.745454545454542,33.808139534883722,34.989130434782609,32.817647058823525,5.7494901441751907,5.6015603502354638,5.5972456944735036,5.5284043167499162,1967.4897520661157,1043.6666779340183,1342.5107514177689,1307.9961591695505,574.30652892561977,392.23207646024883,491.78801394139884,507.24756920415211
7,61,93.804659063334142,316.28099975734045,61,0.06942278780968987,0.056370773914436796,0.066371522153835086,0.064859139507198849,968.92671394799049,1369.0481012658229,759.33106575963734,1014.6516587677725,0.61404501217657426,0.47710123856044917,0.68656803897185903,0.59204493886252108,4.2980251688014057,4.5489564526716801,4.1418114067750054,4.4686817093067912,0.00055305834763137002,0.00047347903202834331,0.00057483469893374452,0.00051791999218845524,6.4981849751431389,6.7582167312632988,6.4674823700230384,6.4928866576357827,-0.43720112854088589,-0.42837289157117026,-0.4445931687918353,-0.39741215664026713,0.9867305725953901,0.98736057397047872,0.98752695705355242,0.97982355469988436,0.41094555460395116,0.37867731324242992,0.41818476239351388,0.39582417705123685,35.761229314420802,37.549367088607596,34.943310657596371,34.609004739336491,5.0865648576449534,5.2755140606466391,5.0401657288974278,5.0604793830365136,4052.0044542807482,3867.3311071943608,4085.9378294023581,3959.6788762606411,1255.2327920571847,1309.0948021150455,1211.3172237904992,1243.5826337571034
7,62,405.03882833787463,332.69891008174386,62,0.03143488472157481,0.031690333828338482,0.033698676470928918,0.036871056420300773,635.42215568862275,822.37156704361882,491.9330289193303,569.44861337683528,0.39910405536955246,0.1051632542888042,0.58636788041277466,0.55000596231574195,3.8226825074137567,3.8072507469981831,3.7212989799530969,3.7467407156075012,0.00057935883458219088,0.00061830178311648326,0.00062798329178152855,0.00062855246925858327,6.2681894732874071,6.1725210408060107,6.2408638301853436,6.0704642134682629,-0.23781476359462009,-0.16060935209271851,-0.25465041100365254,-0.28903966463177988,0.90322739919464246,0.81221907796662163,0.91550768504686364,0.93348596103353942,0.33979815032169686,0.33829905219420164,0.38725203271995601,0.3452480865879729,18.245508982035929,15.893376413570277,19.783866057838662,20.404567699836868,4.5044491774806286,4.3553843005674491,4.4697615012679837,4.3909322983147447,1479.4936175553087,1015.665529633757,1886.6686590261993,1961.4676463465589,528.72894331098291,459.50927416934394,594.65042198638241,632.72906493084849
7,63,475.29545454545456,341.03885630498536,63,0.017251562261850324,0.013999326317508599,0.015496394636285887,0.017103380149694154,3330.5216049382711,2520.0415335463258,1975.0728291316525,3624.3487544483978,-0.0012299491044043872,0.2493830434075526,0.40009512951776083,-0.14062978605061865,5.6043416191710076,5.6234902343705091,5.4493883735855402,5.6223397285111574,0.0002361836777861466,0.00019153990373719045,0.00024347880930068188,0.00021777992855760256,7.5782396336494164,7.819365228999744,7.791491866159209,7.5598557679798253,-0.43025613823269299,-0.44657519069620555,-0.46122871115283409,-0.39900286763137943,0.99212047560645567,0.99440641425109044,0.99530667985870491,0.98838525302267344,0.21451117916107729,0.19916118319384135,0.22602891153594684,0.22103400149780197,54.873456790123456,58.277955271565489,56.899159663865547,52.348754448398573,6.0440299247140006,6.1892694260074084,6.2029017121530226,6.008805537597099,3322.3389250876385,4194.5457440618966,4609.547254195797,2730.6470536087431,1663.2151325064779,1678.6468194020556,1646.1550208318617,1588.7489520142854
7,64,443.9655172413793,347.50775862068963,64,0.014289377075927978,0.012273798297297793,0.012481765114444279,0.012427576429980276,1424.6412213740459,1650.0826580226903,1521.4302848575712,1748.6410256410256,0.25926305931876364,0.18297809874756166,0.2617968600227647,0.21901247111919567,4.9041453311486176,5.230319076553724,5.0674374801108231,5.2097991061271154,0.00029096379246950678,0.00023108229668828537,0.00026053362238771653,0.00024023511937417926,7.733815627227842,7.9723595872651432,7.9041600001172743,7.9833927028690868,-0.3454651875060567,-0.30599697209292459,-0.33533582251971222,-0.33170957474149881,0.98001412825581669,0.97153250674325542,0.97908139925007487,0.97887369268509972,0.26012849937384941,0.23909802993020327,0.23638443765907027,0.23824683158402324,34.210687022900757,35.534846029173416,35.580209895052469,37.012820512820511,5.7489201674682242,5.8893739036720314,5.8374611318918568,5.9047374290882946,2421.9098094516639,2389.1790936959042,2600.5524119499473,2729.3844510190675,961.63775770642724,1009.8154379296485,1030.4956742018796,1119.506369165023
